Issue Type,Issue Key,Epic Name,Epic Link,Summary,Description,Acceptance Criteria,Priority,Story Points,Labels,Sprint,Dependencies
Epic,FAV-E1,Foundation & Infrastructure,,Foundation & Infrastructure,"Stand up the repo, environments, core cloud resources and CI so every other epic has ground to build on.",,High,,epic,,
Task,FAV-101,,Foundation & Infrastructure,Set up TypeScript monorepo,"Create a Turborepo monorepo with shared tsconfig, eslint, prettier, and packages for web, workers, and shared types.","- Monorepo builds with a single command
- Shared config consumed by all packages
- Type-checking passes repo-wide",Highest,3,infra setup,Phase 1 - MVP,
Task,FAV-102,,Foundation & Infrastructure,CI/CD pipeline,"GitHub Actions running lint, typecheck, unit tests, and deploy to staging on merge to main.","- PRs blocked on failing lint/type/test
- Auto-deploy to staging on merge
- Deploy status reported to PR",Highest,5,infra ci,Phase 1 - MVP,FAV-101
Task,FAV-103,,Foundation & Infrastructure,Environment & secrets management,Define dev/staging/prod environments with a secrets store (e.g. Doppler/1Password/Vercel envs).,"- Three isolated environments
- No secrets in source control
- Local .env.example documented",Highest,3,infra security,Phase 1 - MVP,FAV-101
Task,FAV-104,,Foundation & Infrastructure,Provision Postgres & Redis,"Provision managed Postgres (Neon) and Redis for queues, rate limiting, and caching.","- Postgres reachable from app + workers
- Redis reachable
- Connection pooling configured",Highest,2,infra data,Phase 1 - MVP,FAV-103
Task,FAV-105,,Foundation & Infrastructure,Provision R2 storage + lifecycle,Create Cloudflare R2 buckets for raw assets and final renders with lifecycle rules to expire intermediates.,"- Buckets created with least-priv keys
- Lifecycle expiry on intermediate assets
- Signed-URL access verified",High,2,infra storage,Phase 1 - MVP,FAV-103
Task,FAV-106,,Foundation & Infrastructure,Base web app scaffold,"Next.js App Router app with Tailwind and shadcn/ui, base layout, and design tokens.","- App boots locally and on staging
- Design system components available
- Dark/light theming baseline",Highest,3,frontend setup,Phase 1 - MVP,FAV-101
Task,FAV-107,,Foundation & Infrastructure,Error tracking & logging baseline,Wire Sentry and structured logging across web and workers.,"- Uncaught errors reported to Sentry
- Structured JSON logs with request/job IDs
- Source maps uploaded",High,2,infra observability,Phase 1 - MVP,FAV-106
Epic,FAV-E2,Authentication & Multi-tenancy,,Authentication & Multi-tenancy,"User identity, organizations, roles, and protected access — the tenancy boundary all data hangs off.",,High,,epic,,
Story,FAV-201,,Authentication & Multi-tenancy,Integrate Clerk auth,As a user I can sign up and log in with email and social providers so I can access the app.,"- Email + at least one social login
- Session persisted across reloads
- Sign-out clears session",Highest,3,auth,Phase 1 - MVP,FAV-106
Story,FAV-202,,Authentication & Multi-tenancy,Organizations & memberships,"As a user I belong to an organization so my data, billing, and teammates are scoped to it.","- Org auto-created on first signup
- All tenant data keyed by org_id
- User can belong to multiple orgs",Highest,5,auth multitenancy,Phase 1 - MVP,FAV-201 FAV-302
Story,FAV-203,,Authentication & Multi-tenancy,Roles & permissions,As an org owner I can assign owner/admin/member roles so access is controlled.,"- Three roles enforced server-side
- Billing limited to owner/admin
- Role checks unit-tested",High,3,auth,Phase 1 - MVP,FAV-202
Task,FAV-204,,Authentication & Multi-tenancy,Protected routes & middleware,Session + org middleware guarding all app and API routes.,"- Unauthed requests redirected/401
- Org context injected per request
- API keys handled separately",Highest,2,auth security,Phase 1 - MVP,FAV-201
Story,FAV-205,,Authentication & Multi-tenancy,Teammate invites,As an admin I can invite teammates by email so we can collaborate in one org.,"- Email invite with expiring link
- Invitee joins existing org
- Pending/accepted states tracked",Medium,3,auth,Phase 3 - Scale,FAV-203
Epic,FAV-E3,Data Layer & Schema,,Data Layer & Schema,"The relational schema, migrations, and the append-only credit ledger that is the billing source of truth.",,High,,epic,,
Task,FAV-301,,Data Layer & Schema,Drizzle ORM & migrations,Set up Drizzle with a repeatable migration workflow and typed query layer.,"- Migrations run in CI + all envs
- Rollback path documented
- Typed queries end-to-end",Highest,3,data,Phase 1 - MVP,FAV-104
Task,FAV-302,,Data Layer & Schema,Core schema,"Model users, organizations, memberships, videos, scenes, and jobs.","- All core tables + relations migrated
- Indexes on hot lookups
- ER diagram in repo",Highest,5,data,Phase 1 - MVP,FAV-301
Story,FAV-303,,Data Layer & Schema,Append-only credit ledger,As the platform I record every credit change as an immutable ledger row so balances are auditable.,"- No mutable balance column
- Balance derived + cached
- Compensating entries for refunds",Highest,5,data billing,Phase 1 - MVP,FAV-302
Task,FAV-304,,Data Layer & Schema,Ancillary tables,"Model voices, social_accounts, autopilot_rules, publish_jobs.","- Tables migrated with encryption flags on token cols
- FKs + indexes set
- Documented in schema doc",High,3,data,Phase 2 - Product,FAV-302
Task,FAV-305,,Data Layer & Schema,Seed & fixtures,Deterministic seed data and fixtures for local dev and tests.,"- One command seeds a working org
- Fixtures used by integration tests
- Idempotent re-seeding",Medium,2,data dx,Phase 1 - MVP,FAV-302
Epic,FAV-E4,Pipeline: Script Generation,,Pipeline: Script Generation,"Turn a topic into a validated, structured, scene-by-scene script — the first stage of the pipeline.",,High,,epic,,
Task,FAV-401,,Pipeline: Script Generation,LLM provider client,Provider-agnostic LLM client abstraction (Claude/GPT/Gemini) with retries.,"- Swap providers via config
- Retries with jitter
- Token usage logged",Highest,3,pipeline llm,Phase 0 - Spike,
Story,FAV-402,,Pipeline: Script Generation,Structured scene-script generation,As a creator I enter a topic and get a scene-by-scene script (narration + visual prompt + on-screen text) as validated JSON.,"- Output validated against JSON schema
- Malformed output rejected + retried
- Scene count maps to duration",Highest,5,pipeline llm,Phase 0 - Spike,FAV-401
Story,FAV-403,,Pipeline: Script Generation,Duration/tone/style controls,"As a creator I set target length, tone, and style so scripts match my niche.","- Controls affect prompt + scene count
- ~150 wpm pacing model
- Presets available",High,3,pipeline,Phase 2 - Product,FAV-402
Story,FAV-404,,Pipeline: Script Generation,Script edit & regenerate,As a creator I can edit narration or regenerate the whole script before rendering.,"- Per-scene inline edit
- Regenerate whole or single scene
- Edits persist to DB",High,3,pipeline frontend,Phase 2 - Product,FAV-402 FAV-1103
Task,FAV-405,,Pipeline: Script Generation,Input prompt moderation,Moderate user topic/prompt input before generation to protect provider accounts.,"- Prohibited prompts blocked pre-generation
- Moderation decisions logged
- Clear user-facing rejection",High,2,pipeline safety,Phase 2 - Product,FAV-401
Epic,FAV-E5,Pipeline: Visual Generation,,Pipeline: Visual Generation,"Per-scene image and text-to-video generation via a resilient model gateway, with quality tiers and re-roll.",,High,,epic,,
Task,FAV-501,,Pipeline: Visual Generation,Model gateway with fallback,Abstraction over fal.ai/Replicate for image + video models with a fallback provider and circuit breaker.,"- Primary+fallback per model type
- Circuit breaker on repeated failure
- Cost per call recorded",Highest,5,pipeline visuals,Phase 0 - Spike,FAV-401
Story,FAV-502,,Pipeline: Visual Generation,Image generation per scene,As the pipeline I generate one image per scene (FLUX tiers) from its visual prompt.,"- Basic + premium image tiers
- Asset stored to R2 keyed by scene
- Failures retryable per scene",Highest,5,pipeline visuals,Phase 0 - Spike,FAV-501 FAV-105
Story,FAV-503,,Pipeline: Visual Generation,Text-to-video generation,As the pipeline I generate short video clips per scene (Kling/Runway/Luma) for the max tier.,"- Per-second metering wired to credits
- Configurable clip length
- Graceful downgrade if unavailable",Medium,8,pipeline visuals,Phase 2 - Product,FAV-501
Task,FAV-504,,Pipeline: Visual Generation,Parallel scene generation,Generate scene assets in parallel with a concurrency cap and backpressure.,"- Configurable concurrency limit
- Partial-failure handling
- Progress emitted per scene",High,3,pipeline,Phase 1 - MVP,FAV-502 FAV-905
